account_id,amount_donated_2013,amount_donated_lifetime,no_donations_lifetime,label,no_seats_tickets,price_level_tickets,no_seats_subs,price_level_subs,subscription_tier_subs,years_since_2013,zip_reduced,zip_matched
001i000000LhyTK,375.0,1549.0,9,1,40.0,0.0,212.0,3.0,1.0,4.0,94,2
001i000000LhyTR,50.0,297.0,6,1,,,232.0,2.0,0.0,19.0,95,2
001i000000LhyTV,0.0,29200.03,16,1,,,220.0,0.0,1.0,9.0,94,2
001i000000LhyTX,3400.0,51965.0,35,1,,,243.0,5.0,1.0,28.0,94,2
001i000000LhyTZ,21129.46,183992.95,26,1,,,223.0,5.0,1.0,12.0,94,2
001i000000LhyTe,0.0,100.0,4,1,,,232.0,3.0,0.0,15.0,94,2
001i000000LhyTh,0.0,8.0,1,1,,,223.0,3.0,0.0,3.0,94,2
001i000000LhyTj,0.0,12015.0,25,1,20.0,1.0,237.0,5.0,1.0,25.0,94,2
001i000000LhyTn,0.0,225.0,4,1,112.0,1.0,66.0,0.0,1.0,13.0,94,2
001i000000LhyTo,150.0,930.0,9,1,,,362.0,2.0,3.0,15.0,94,2
001i000000LhyTp,160.0,2010.0,10,1,,,212.0,0.0,0.0,9.0,94,2
001i000000LhyTs,70.0,3295.0,33,1,20.0,1.0,194.0,5.0,1.0,28.0,94,2
001i000000LhyTw,150.0,2592.0,23,1,,,232.0,5.0,0.0,22.0,94,2
001i000000LhyTz,2500.0,39846.87,34,1,,,538.0,5.0,3.0,28.0,94,2
001i000000LhyU7,200.0,4745.0,18,1,,,223.0,0.0,1.0,13.0,95,2
001i000000LhyU8,0.0,31265.66,25,1,345.0,4.0,237.0,5.0,1.0,28.0,94,2
001i000000LhyUF,1000.0,13038.0,30,1,,,237.0,0.0,1.0,21.0,94,2
001i000000LhyUI,250.0,2366.0,26,0,,,231.0,1.0,0.0,17.0,94,2
001i000000LhyUK,2100.0,15750.0,19,1,,,121.0,5.0,0.0,17.0,94,2
001i000000LhyUM,1100.0,3902.0,8,1,,,206.0,5.0,1.0,3.0,94,2
001i000000LhyUO,0.0,49677.96,21,1,,,203.0,1.0,0.0,21.0,94,2
001i000000LhyUQ,110.0,652.0,13,1,,,241.0,3.0,1.0,19.0,94,2
001i000000LhyUU,1200.0,16780.0,43,1,,,237.0,5.0,1.0,24.0,94,2
001i000000LhyUV,100.0,288.33,3,1,,,206.0,5.0,1.0,0.0,94,2
001i000000LhyUX,200.0,7076.0,31,1,,,237.0,1.0,1.0,25.0,94,2
001i000000LhyUZ,100.0,3100.0,19,1,,,237.0,0.0,1.0,20.0,94,2
001i000000LhyUi,100.0,1750.0,16,1,,,233.0,3.0,1.0,15.0,94,2
001i000000LhyUj,300.0,6081.68,33,1,,,235.0,0.0,1.0,19.0,94,2
001i000000LhyUk,0.0,42481.0,26,0,69.0,3.0,151.0,5.0,4.0,25.0,94,2
001i000000LhyUl,0.0,700.0,7,1,,,206.0,2.0,0.0,8.0,94,2
001i000000LhyUn,50.0,1349.68,22,1,,,237.0,1.0,0.0,23.0,94,2
001i000000LhyUq,150.0,2769.33,20,0,,,233.0,5.0,1.0,21.0,94,2
001i000000LhyUu,60.0,1257.0,14,1,,,219.0,3.0,1.0,10.0,94,2
001i000000LhyUv,0.0,50.0,1,1,,,237.0,1.0,1.0,-1.0,94,2
001i000000LhyV1,200.0,4096.4,18,1,,,227.0,0.0,1.0,14.0,94,2
001i000000LhyV4,500.0,19350.0,20,0,,,231.0,5.0,1.0,17.0,94,2
001i000000LhyV5,750.0,10100.0,32,1,,,229.0,5.0,1.0,16.0,94,2
001i000000LhyV7,0.0,9748.32,17,1,,,146.0,0.0,2.0,15.0,94,2
001i000000LhyVB,0.0,1326.0,17,1,,,237.0,3.0,1.0,18.0,94,2
001i000000LhyVC,125.0,850.0,13,1,,,256.0,0.0,0.0,10.0,94,2
001i000000LhyVE,50.0,2095.0,22,1,,,227.0,5.0,1.0,26.0,94,2
001i000000LhyVF,300.0,4040.0,27,1,,,113.0,1.0,0.0,22.0,94,2
001i000000LhyVJ,0.0,0.0,0,0,,,,,,,94,2
001i000000LhyVK,300.0,2506.0,10,1,,,237.0,0.0,1.0,27.0,94,2
001i000000LhyVO,60.0,256.0,5,0,,,142.0,3.0,0.0,1.0,94,2
001i000000LhyVV,600.0,4858.0,15,1,,,237.0,3.0,1.0,18.0,95,2
001i000000LhyVe,0.0,1939.0,28,1,,,128.0,0.0,0.0,25.0,94,2
001i000000LhyVg,100.0,553.32,7,1,,,219.0,0.0,1.0,5.0,94,2
001i000000LhyVp,300.0,3840.0,23,1,,,120.0,0.0,0.0,20.0,94,2
001i000000LhyVw,625.0,9775.0,24,1,,,120.0,0.0,0.0,16.0,94,2
001i000000LhyVy,100.0,826.0,12,1,,,221.0,1.0,0.0,18.0,94,2
001i000000LhyW0,0.0,50.0,1,1,46.0,4.0,20.0,0.0,0.0,-1.0,94,2
001i000000LhyW1,0.0,8.0,1,1,,,208.0,2.0,0.0,3.0,94,2
001i000000LhyW4,0.0,0.0,0,1,,,174.0,3.0,0.0,,94,2
001i000000LhyW6,100.0,250.0,2,1,56.0,8.0,86.0,1.0,1.0,1.0,94,2
001i000000LhyW8,100.0,1275.0,15,1,,,229.0,5.0,0.0,16.0,94,2
001i000000LhyWB,1126.53,26548.0,33,0,,,127.0,1.0,0.0,26.0,94,2
001i000000LhyWC,0.0,0.0,0,1,,,86.0,5.0,0.0,,95,2
001i000000LhyWF,0.0,0.0,0,0,,,44.0,5.0,1.0,,94,2
001i000000LhyWH,0.0,0.0,0,1,23.0,1.0,91.0,0.0,2.0,,94,2
001i000000LhyWI,2000.0,14319.0,31,1,,,237.0,5.0,1.0,16.0,94,2
001i000000LhyWK,100.0,300.0,4,1,,,105.0,1.0,0.0,2.0,94,2
001i000000LhyWO,0.0,300.0,4,1,,,154.0,5.0,0.0,9.0,95,2
001i000000LhyWR,0.0,0.0,0,0,,,86.0,3.0,0.0,,94,2
001i000000LhyWS,1000.0,51840.0,31,0,,,269.0,5.0,1.0,28.0,94,2
001i000000LhyWT,40.0,40.0,1,1,,,132.0,5.0,0.0,0.0,94,2
001i000000LhyWW,0.0,11006.5,15,1,,,221.0,0.0,1.0,13.0,94,2
001i000000LhyWX,100.0,750.0,8,1,,,214.0,0.0,0.0,6.0,94,2
001i000000LhyWY,5000.0,65493.0,41,1,,,237.0,0.0,1.0,25.0,94,2
001i000000LhyWc,50.0,538.0,13,1,,,115.0,2.0,2.0,13.0,94,2
001i000000LhyWd,0.0,0.0,0,1,,,233.0,5.0,1.0,,94,2
001i000000LhyWe,250.0,1361.65,6,1,,,215.0,5.0,6.0,7.0,94,2
001i000000LhyWj,0.0,0.0,0,0,,,206.0,2.0,0.0,,94,2
001i000000LhyWk,0.0,120.0,3,1,,,133.0,3.0,0.0,5.0,94,2
001i000000LhyWl,0.0,0.0,0,1,,,106.0,2.0,2.0,,94,2
001i000000LhyWm,100.0,350.0,4,1,,,206.0,1.0,0.0,3.0,94,2
001i000000LhyWn,0.0,0.0,0,1,,,212.0,1.0,0.0,,94,2
001i000000LhyWo,50.0,398.36,9,1,,,228.0,2.0,0.0,12.0,94,2
001i000000LhyWr,2000.0,7906.0,19,1,,,218.0,5.0,1.0,10.0,94,2
001i000000LhyWs,150.0,2242.0,23,1,,,128.0,0.0,0.0,18.0,94,2
001i000000LhyWu,0.0,920.0,6,0,,,146.0,1.0,1.0,25.0,94,2
001i000000LhyWv,0.0,81.34,1,1,,,86.0,0.0,0.0,-1.0,94,2
001i000000LhyX2,1500.0,10690.0,11,1,,,216.0,5.0,1.0,7.0,94,2
001i000000LhyX6,100.0,850.0,16,1,,,114.0,3.0,0.0,14.0,94,2
001i000000LhyXA,2000.0,23658.0,35,1,,,235.0,5.0,1.0,24.0,94,2
001i000000LhyXD,0.0,350.0,1,0,,,20.0,5.0,2.0,-1.0,94,2
001i000000LhyXF,0.0,0.0,0,0,,,98.0,2.0,0.0,,94,2
001i000000LhyXG,0.0,0.0,0,1,,,142.0,2.0,0.0,,94,2
001i000000LhyXH,0.0,50.0,1,0,,,206.0,3.0,1.0,2.0,94,2
001i000000LhyXM,10000.0,47850.0,18,1,28.0,3.0,71.0,0.0,0.0,2.0,94,2
001i000000LhyXQ,0.0,20.0,1,1,28.0,2.0,90.0,1.0,0.0,8.0,94,2
001i000000LhyXR,22.0,512.0,6,0,,,215.0,1.0,0.0,8.0,94,2
001i000000LhyXg,300.0,2499.0,27,1,,,344.0,0.0,5.0,27.0,94,2
001i000000LhyXk,60.0,245.0,5,1,,,105.0,0.0,2.0,4.0,94,2
001i000000LhyXl,400.0,1750.0,6,0,,,109.0,5.0,2.0,5.0,94,2
001i000000LhyXn,100.0,235.0,5,1,,,110.0,2.0,0.0,19.0,94,2
001i000000LhyXo,125.0,225.0,2,0,,,206.0,1.0,1.0,1.0,94,2
001i000000LhyXr,50.0,715.0,9,0,,,217.0,0.0,1.0,8.0,94,2
001i000000LhyXs,368.0,368.0,2,1,112.0,0.0,86.0,3.0,1.0,1.0,94,2
001i000000LhyXt,100.0,250.0,3,1,,,206.0,1.0,0.0,1.0,94,2
001i000000LhyXu,0.0,321.0,5,1,,,232.0,0.0,1.0,16.0,94,2
001i000000LhyXv,0.0,0.0,0,0,,,40.0,1.0,1.0,,94,2
001i000000LhyXx,0.0,0.0,0,0,,,43.0,0.0,0.0,,94,2
001i000000LhyXy,15.0,35.0,2,1,,,20.0,5.0,2.0,0.0,95,2
001i000000LhyY5,154.0,1928.0,21,1,,,221.0,0.0,0.0,17.0,94,2
001i000000LhyY8,0.0,0.0,0,0,,,20.0,5.0,0.0,,94,2
001i000000LhyYC,0.0,575.0,12,1,,,237.0,0.0,1.0,25.0,94,2
001i000000LhyYE,100.0,2461.0,26,1,,,133.0,0.0,0.0,17.0,94,2
001i000000LhyYG,0.0,508.0,14,1,,,118.0,0.0,0.0,17.0,94,2
001i000000LhyYH,40.0,1623.0,24,1,,,237.0,5.0,1.0,24.0,94,2
001i000000LhyYM,0.0,150.0,3,1,112.0,2.0,43.0,2.0,2.0,3.0,94,2
001i000000LhyYO,0.0,0.0,0,0,,,20.0,3.0,2.0,,94,2
001i000000LhyYS,0.0,4563.0,23,1,,,237.0,1.0,1.0,18.0,94,2
001i000000LhyYT,200.0,3764.0,18,1,,,301.0,0.0,5.0,18.0,94,2
001i000000LhyYU,50.0,220.0,5,1,,,208.0,2.0,0.0,4.0,94,2
001i000000LhyYW,0.0,105.0,3,1,,,107.0,1.0,2.0,4.0,94,2
001i000000LhyYa,30.0,30.0,1,1,,,86.0,1.0,0.0,0.0,94,2
001i000000LhyYc,0.0,0.0,0,0,69.0,4.0,20.0,3.0,2.0,,94,2
001i000000LhyYd,0.0,61.66,1,0,,,83.0,1.0,2.0,0.0,94,2
001i000000LhyYf,450.0,2240.68,21,1,,,111.0,1.0,2.0,10.0,94,2
001i000000LhyYj,0.0,25.0,1,1,,,124.0,1.0,0.0,12.0,94,2
001i000000LhyYk,0.0,0.0,0,1,,,216.0,3.0,0.0,,94,2
001i000000LhyYl,100.0,1783.0,16,1,,,118.0,0.0,0.0,19.0,94,2
001i000000LhyYp,15.0,40.0,2,1,115.0,4.0,20.0,1.0,2.0,0.0,94,2
001i000000LhyYr,72.0,1805.0,20,1,,,232.0,1.0,0.0,18.0,94,2
001i000000LhyYs,17.0,400.0,17,0,,,120.0,3.0,0.0,22.0,94,2
001i000000LhyYx,30.0,145.0,6,0,,,120.0,5.0,0.0,18.0,94,2
001i000000LhyZ0,0.0,1262.66,11,1,,,208.0,0.0,0.0,21.0,94,2
001i000000LhyZ1,0.0,150.0,2,1,,,208.0,3.0,1.0,1.0,94,2
001i000000LhyZ4,0.0,0.0,0,1,,,86.0,0.0,0.0,,94,2
001i000000LhyZ7,0.0,201.0,3,1,,,234.0,3.0,0.0,18.0,94,2
001i000000LhyZ8,0.0,0.0,0,1,46.0,0.0,24.0,3.0,2.0,,94,2
001i000000LhyZ9,0.0,150.0,1,1,,,142.0,0.0,0.0,-1.0,94,2
001i000000LhyZA,0.0,0.0,0,1,,,43.0,2.0,0.0,,94,2
001i000000LhyZB,100.0,4900.0,27,1,,,236.0,0.0,1.0,26.0,94,2
001i000000LhyZM,0.0,0.0,0,0,28.0,1.0,40.0,5.0,0.0,,94,2
001i000000LhyZO,36088.9,198835.58,40,1,,,120.0,0.0,0.0,19.0,94,2
001i000000LhyZQ,0.0,0.0,0,1,,,106.0,3.0,0.0,,94,2
001i000000LhyZW,0.0,0.0,0,1,,,86.0,1.0,1.0,,94,2
001i000000LhyZY,0.0,725.0,4,1,,,210.0,0.0,1.0,5.0,94,2
001i000000LhyZZ,0.0,0.0,0,0,,,63.0,5.0,2.0,,94,2
001i000000LhyZa,0.0,0.0,0,0,32.0,2.0,71.0,3.0,0.0,,94,2
001i000000LhyZc,0.0,111.66,2,1,28.0,3.0,86.0,1.0,0.0,0.0,94,2
001i000000LhyZe,25.0,110.0,4,1,,,142.0,3.0,0.0,2.0,94,2
001i000000LhyZl,500.0,4758.0,18,1,,,223.0,0.0,1.0,12.0,94,2
001i000000LhyZn,0.0,1650.0,5,1,,,108.0,3.0,2.0,7.0,94,2
001i000000LhyZr,100.0,1275.0,12,1,23.0,1.0,214.0,5.0,1.0,9.0,94,2
001i000000LhyZs,0.0,0.0,0,0,69.0,0.0,20.0,3.0,2.0,,94,2
001i000000LhyZt,0.0,0.0,0,0,,,40.0,1.0,1.0,,94,2
001i000000LhyZu,100.0,1087.0,19,1,,,466.0,3.0,3.0,25.0,94,2
001i000000LhyZw,600.0,2255.0,9,0,,,107.0,0.0,2.0,11.0,94,2
001i000000LhyZz,0.0,250.0,10,1,,,235.0,1.0,0.0,19.0,94,2
001i000000Lhya1,200.0,2747.0,19,1,,,115.0,5.0,0.0,14.0,94,2
001i000000Lhya3,0.0,0.0,0,1,,,313.0,3.0,5.0,,94,2
001i000000Lhya6,200.0,1544.5,10,1,,,219.0,2.0,1.0,8.0,94,2
001i000000Lhya9,196.0,2303.0,20,1,,,235.0,1.0,0.0,16.0,94,2
001i000000LhyaA,25.0,111.0,4,1,,,230.0,1.0,0.0,14.0,95,2
001i000000LhyaJ,1500.0,4000.0,3,0,,,84.0,5.0,0.0,2.0,94,2
001i000000LhyaN,70.0,4322.0,24,1,,,228.0,1.0,0.0,27.0,94,2
001i000000LhyaO,2250.0,21345.0,34,1,46.0,4.0,248.0,0.0,1.0,27.0,94,2
001i000000LhyaP,800.0,1350.0,5,1,,,206.0,0.0,0.0,4.0,94,2
001i000000LhyaQ,100.0,100.0,1,0,,,20.0,3.0,0.0,0.0,94,2
001i000000LhyaS,0.0,0.0,0,0,,,40.0,2.0,0.0,,94,2
001i000000Lhyab,150.0,1446.0,11,0,28.0,5.0,110.0,0.0,2.0,9.0,94,2
001i000000Lhyal,0.0,0.0,0,1,,,71.0,0.0,2.0,,94,2
001i000000Lhyam,0.0,0.0,0,0,112.0,0.0,86.0,3.0,0.0,,94,2
001i000000Lhyao,0.0,0.0,0,0,46.0,1.0,46.0,0.0,0.0,,94,2
001i000000Lhyap,1250.0,21750.0,22,1,,,440.0,5.0,3.0,21.0,94,2
001i000000Lhyax,50.0,994.0,23,1,,,237.0,2.0,1.0,18.0,94,2
001i000000Lhyay,300.0,3808.0,25,1,20.0,2.0,237.0,5.0,1.0,25.0,94,2
001i000000Lhyb2,1800.0,11950.0,11,1,,,215.0,5.0,1.0,9.0,94,2
001i000000Lhyb3,0.0,157.0,3,1,28.0,0.0,20.0,0.0,0.0,0.0,94,2
001i000000Lhyb4,40.0,383.0,10,1,,,109.0,1.0,2.0,8.0,94,2
001i000000Lhyb7,300.0,5778.32,29,1,,,110.0,0.0,0.0,27.0,94,2
001i000000Lhyb8,0.0,0.0,0,0,,,103.0,0.0,2.0,,94,2
001i000000Lhyb9,0.0,691.0,12,1,,,237.0,2.0,1.0,23.0,94,2
001i000000LhybE,0.0,108.0,1,1,,,237.0,0.0,0.0,9.0,94,2
001i000000LhybF,0.0,140.0,4,1,,,218.0,0.0,0.0,10.0,94,2
001i000000LhybG,70.0,370.0,4,1,,,109.0,5.0,0.0,8.0,94,2
001i000000LhybI,0.0,0.0,0,1,,,111.0,3.0,2.0,,94,2
001i000000LhybM,75.0,2393.0,12,1,,,224.0,1.0,0.0,15.0,94,2
001i000000LhybY,10500.0,139189.4,62,1,,,216.0,5.0,1.0,27.0,94,2
001i000000LhybZ,4000.0,50369.0,28,1,,,229.0,5.0,1.0,15.0,94,2
001i000000Lhybh,25.0,1044.0,18,1,,,119.0,3.0,0.0,28.0,94,2
001i000000Lhybk,150.0,1324.0,14,1,,,20.0,1.0,0.0,14.0,94,2
001i000000Lhybl,0.0,0.0,0,1,184.0,4.0,40.0,0.0,1.0,,94,2
001i000000Lhybp,0.0,0.0,0,1,56.0,0.0,86.0,1.0,0.0,,94,2
001i000000Lhybu,100.0,225.0,2,1,,,104.0,5.0,2.0,0.0,94,2
001i000000Lhybw,0.0,913.7,16,1,,,233.0,2.0,1.0,17.0,94,2
001i000000Lhybz,5500.0,26450.0,18,1,,,222.0,0.0,1.0,9.0,94,2
001i000000Lhyc3,0.0,0.0,0,0,,,40.0,3.0,0.0,,94,2
001i000000Lhyc4,2000.0,34277.0,33,1,,,235.0,0.0,1.0,18.0,94,2
001i000000Lhyc9,22.0,22.0,1,1,,,237.0,5.0,0.0,0.0,94,2
001i000000LhycK,50.0,325.0,10,1,,,104.0,3.0,2.0,17.0,94,2
001i000000LhycN,50.0,397.0,8,1,,,210.0,2.0,1.0,11.0,94,2
001i000000LhycO,0.0,50.0,1,1,,,40.0,5.0,0.0,-1.0,94,2
001i000000LhycS,1600.0,5400.0,11,1,,,106.0,5.0,0.0,4.0,94,2
001i000000LhycU,100.0,200.0,2,1,,,43.0,1.0,2.0,0.0,94,2
001i000000LhycX,0.0,250.0,7,0,,,109.0,0.0,0.0,9.0,94,2
001i000000Lhyca,100.0,1786.0,13,1,,,434.0,5.0,3.0,10.0,94,2
001i000000Lhycc,100.0,352.0,5,1,,,219.0,5.0,1.0,4.0,94,2
001i000000Lhycd,50.0,1177.0,28,1,,,120.0,3.0,0.0,19.0,94,2
001i000000Lhycg,150.0,4516.0,25,1,,,237.0,5.0,1.0,25.0,94,2
001i000000Lhyci,0.0,0.0,0,0,,,40.0,2.0,0.0,,94,2
001i000000Lhycj,0.0,182.0,3,1,,,75.0,5.0,0.0,7.0,94,2
001i000000Lhyco,0.0,0.0,0,1,,,142.0,2.0,0.0,,94,2
001i000000Lhycq,45.0,497.0,13,1,,,233.0,3.0,1.0,18.0,94,2
001i000000Lhycs,0.0,17.0,1,1,,,105.0,5.0,0.0,-1.0,94,2
001i000000Lhyct,0.0,0.0,0,1,,,103.0,3.0,0.0,,94,2
001i000000Lhycu,0.0,429.16,2,1,,,86.0,0.0,1.0,-1.0,94,2
001i000000Lhycy,250.0,1268.0,13,1,,,230.0,1.0,1.0,18.0,94,2
001i000000Lhycz,75.0,125.0,2,1,,,142.0,3.0,1.0,1.0,94,2
001i000000Lhyd3,0.0,500.0,3,1,,,237.0,5.0,1.0,17.0,94,2
001i000000Lhyd4,0.0,108.0,2,1,,,120.0,5.0,0.0,8.0,94,2
001i000000Lhyd5,150.0,4505.0,28,1,,,119.0,1.0,0.0,25.0,94,2
001i000000Lhyd6,0.0,205.0,3,1,,,107.0,2.0,2.0,10.0,94,2
001i000000Lhyd8,0.0,150.0,1,1,112.0,1.0,88.0,0.0,0.0,1.0,94,2
001i000000LhydA,0.0,1121.0,12,1,,,129.0,0.0,0.0,18.0,94,2
001i000000LhydK,0.0,108.34,3,1,,,20.0,2.0,2.0,0.0,94,2
001i000000LhydL,0.0,150.0,3,1,,,40.0,2.0,1.0,8.0,94,2
001i000000LhydN,0.0,0.0,0,1,,,210.0,0.0,0.0,,95,2
